id,name,address,city,state,zip,monday,tuesday,wednesday,thursday,friday,saturday,sunday,comments,brew_type,website,x,y,created_by
121,Lupulin Brewing Co,570 Humboldt Dr,Big Lake,MN,55309,,,4pm-10pm,4pm-10pm,4pm-11pm,12pm-11pm,11am-6pm,,Brewery,http://www.lupulinbrewing.com/,-93.73958233999996,45.331609122000025,1
122,Hayes' Public House Brew,112 1st St S,Buffalo,MN,55313,,,5pm-10pm,5pm-10pm,3pm-10pm,3pm-10pm,2pm-7pm,,Brewery,http://hayespublichouse.com,-93.87458548899997,45.17059378300007,1
123,Voyageur Brewing Co,233 MN-61,Grand Marais,MN,55604,,,,4pm-11pm,4pm-11pm,12pm-11pm,,"2016 - 1,300 barrels produced",Brewery,http://www.voyageurbrewing.com/,-90.33643675999998,47.75015547700008,1
124,Third Street Brewhouse,219 Red River Ave N,Cold Spring,MN,56320,,,,,4pm-8pm,12pm-5pm,,"2014 - 84,000 barrels produced (3rd in MN)",Brewery,http://www.thirdstreetbrewhouse.com/,-94.42937717799998,45.458925162000064,1
126,Beaver Island Brewing Co,216 6th Ave S,St Cloud,MN,56301,,,4pm-10pm,4pm-10pm,4pm-10pm,12pm-10pm,11am-7pm,,Brewery,http://www.beaverislandbrew.com/,-94.15697490299999,45.55841379600003,1
127,Bad Habit Brewing Co,15 E Minnesota St,St Joseph,MN,56374,,,4pm-10pm,4pm-10pm,3pm-11pm,1pm-11pm,1pm-7pm,,Brewery,http://www.badhabitbeer.com/,-94.31729345399997,45.56497991600002,1
128,Foxhole Brewhouse,313 4th St SW,Willmar,MN,56201,,,4pm-9pm,4pm-9pm,3pm-10pm,2pm-10pm,1pm-4pm,,Brewery,http://www.foxholebrewhouse.com,-95.04814852099997,45.12120226300004,1
129,Brau Brothers Brewing Co,910 E Main St,Marshall,MN,56258,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-9pm,,Brewery,http://www.braubeer.com/,-95.77630251799997,44.43634479100006,1
130,Take 16 Brewing Co,509 E Main St,Luverne,MN,56156,,,,4pm-7pm,,,,,Brewery,http://www.take16beer.com,-96.20355385199996,43.654337878000035,1
132,Goat Ridge Brewing Co,17 Central Ave W,New London,MN,56273,,,,3pm-9pm,12pm-10pm,12pm-10pm,,,Brewery,http://www.goatridgebrewing.com/,-94.94463575499998,45.30112049500007,1
